15:51:02: Всего строк:  68
15:52:21: hosts: 25, 91.219.56.146, 91.219.56.146, 91.219.56.146, 91.219.56.146, 91.219.56.146, 91.219.56.146, 95.79.102.106, 95.79.112.202, 95.79.112.203, 95.79.112.203, 95.79.112.203, 95.79.112.204, 95.79.112.204, 95.79.59.227, 95.79.59.227, 95.79.59.227, 95.79.59.227, 95.79.59.227, 95.79.59.227, 95.79.59.227, 95.79.59.227, REX, dream, suntd, suntd
15:52:21: Ports: 25, 2020, 3000, 3300, 7000, 8080, 9090, 3000, 8000, 1010, 2020, 4040, 3030, 7070, 2200, 3030, 4040, 5000, 7000, 80, 9000, 9090, 1000, 3456, 5577, 80
15:52:21: dater: 25, 01.12.2023, 05.12.2023, 01.12.2023, 11.12.2023, 01.12.2023, 21.12.2023, 07.12.2023, 11.12.2023, 14.12.2023, 01.12.2023, 01.12.2023, 01.12.2023, 01.12.2023, 03.12.2023, 13.12.2023, 01.12.2023, 01.12.2023, 01.12.2023, 01.12.2023, 04.12.2023, 01.12.2023, 01.12.2023, No info, No info, 01.12.2023
15:52:21: status: 25, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, Перезаказ, No info, No info, Перезаказ
15:52:21: clients: 0, 
15:52:21: URLS: 25, http://91.219.56.146:2020/admin, http://91.219.56.146:3000/admin, http://91.219.56.146:3300/admin, http://91.219.56.146:7000/admin, http://91.219.56.146:8080/admin, http://91.219.56.146:9090/admin, http://95.79.102.106:3000/admin, http://95.79.112.202:8000/admin, http://95.79.112.203:1010/admin, http://95.79.112.203:2020/admin, http://95.79.112.203:4040/admin, http://95.79.112.204:3030/admin, http://95.79.112.204:7070/admin, http://95.79.59.227:2200/admin, http://95.79.59.227:3030/admin, http://95.79.59.227:4040/admin, http://95.79.59.227:5000/admin, http://95.79.59.227:7000/admin, http://95.79.59.227:80/admin, http://95.79.59.227:9000/admin, http://95.79.59.227:9090/admin, http://REX:1000/admin, http://dream:3456/admin, http://suntd:5577/admin, http://suntd:80/admin
15:52:21: reg: 25, 18_235101, 619_328161, 619_269249, 18_328237, 460_350073, 460_349027, 460_436172, 460_436766, 460_214253, 460_350664, 460_350352, 2238_321006, 18_52569, 460_424026, 2238_438050, 460_436440, 460_350407, 460_350537, 460_350944, 460_436728, 460_436085, 460_328248, No reg, No reg, 460_436715
15:53:16: Всего строк:  68
15:53:16: {'Kodeks': '1700778047', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:53:16: {'Kodeks': '1700782579', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
